"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 17:22:09 GMT 2023","Fri Mar 31 17:22:09 GMT 2023","1","","ru.prudnikova.tests.allureTest.LabelTest","","ru.prudnikova.tests.allureTest.LabelTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Fri Mar 31 17:22:02 GMT 2023","Fri Mar 31 17:22:07 GMT 2023","5008","","ru.prudnikova.tests.allureTest.AttachmentsTest","","ru.prudnikova.tests.allureTest.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Fri Mar 31 17:23:30 GMT 2023","Fri Mar 31 17:23:36 GMT 2023","5724","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","","ru.prudnikova.tests.parameterizedTest.SearchFilterOnNovostroykiPageTest","resultSearchCityAndSelectRoomShouldContainsZhkFromSuchCityAndWithSuchTypeFlats","resultSearchCityAndSelectRoomShouldContainsZhkFromSuchCityAndWithSuchTypeFlats(String, String, String) Результат поиска по г. Дмитров и комнатности Студии должнен содержать новостройки из г. Дмитров с типом квартир Студии",""
"passed","Fri Mar 31 17:22:53 GMT 2023","Fri Mar 31 17:22:53 GMT 2023","15","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","zipTestXls","zipTestXls()",""
"passed","Fri Mar 31 17:22:19 GMT 2023","Fri Mar 31 17:22:22 GMT 2023","3067","","ru.prudnikova.tests.allureTest.IssueSearchTest","","ru.prudnikova.tests.allureTest.IssueSearchTest","testAnnotatedStep","Проверка наличия issues-tab в репозитории https://github.com/ с помощью Steps",""
"broken","Fri Mar 31 17:23:07 GMT 2023","Fri Mar 31 17:23:14 GMT 2023","6421","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadDocxFile","Загрузка и чтение файла формата .docx",""
"passed","Fri Mar 31 17:23:14 GMT 2023","Fri Mar 31 17:23:15 GMT 2023","1050","","ru.prudnikova.tests.downloadFile.DownloadFileTest","","ru.prudnikova.tests.downloadFile.DownloadFileTest","downloadJsonFile","Чтение файла формата .json",""
"passed","Fri Mar 31 17:22:07 GMT 2023","Fri Mar 31 17:22:09 GMT 2023","1912","","ru.prudnikova.tests.allureTest.AttachmentsTest","","ru.prudnikova.tests.allureTest.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Fri Mar 31 17:22:14 GMT 2023","Fri Mar 31 17:22:19 GMT 2023","4857","","ru.prudnikova.tests.allureTest.IssueSearchTest","","ru.prudnikova.tests.allureTest.IssueSearchTest","issueSearchWithLambda","Проверка наличия issues-tab в репозитории https://github.com/ с помощью Lambda",""
"passed","Fri Mar 31 17:22:09 GMT 2023","Fri Mar 31 17:22:14 GMT 2023","5220","","ru.prudnikova.tests.allureTest.IssueSearchTest","","ru.prudnikova.tests.allureTest.IssueSearchTest","issueSearchWithListener","Проверка наличия issues-tab в репозитории https://github.com/ с помощью Listener",""
